book_id;authors;original_title
1;J.K. Rowling, Mary GrandPré;Harry Potter and the Half-Blood Prince
2;J.K. Rowling, Mary GrandPré;Harry Potter and the Order of the Phoenix
3;J.K. Rowling, Mary GrandPré;Harry Potter and the Philosopher's Stone
5;J.K. Rowling, Mary GrandPré, Rufus Beck;Harry Potter and the Prisoner of Azkaban
6;J.K. Rowling, Mary GrandPré;Harry Potter and the Goblet of Fire
8;J.K. Rowling, Mary GrandPré;
10;J.K. Rowling;Harry Potter Collection (Harry Potter, #1-6)
11;Douglas Adams;The Hitchhiker's Guide to the Galaxy
13;Douglas Adams;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story
21;Bill Bryson;A Short History of Nearly Everything
24;Bill Bryson;Down Under
25;Bill Bryson;Notes from a Big Country
26;Bill Bryson;The Lost Continent: Travels in Small-Town America
27;Bill Bryson;Neither Here Nor There: Travels in Europe
28;Bill Bryson;Notes from a Small Island
29;Bill Bryson;The Mother Tongue: English and How It Got That Way
30;J.R.R. Tolkien;The Hobbit and The Lord of the Rings
33;J.R.R. Tolkien;The Lord of the Rings
34;J.R.R. Tolkien; The Fellowship of the Ring
36;Chris   Smith, Christopher Lee, Richard Taylor;The Lord of the Rings: Weapons and Warfare
50;Gary Paulsen;Hatchet
67;Edward P. Jones;The Known World
93;Johanna Spyri, Angelo  Rinaldi, Beverly Cleary;Heidi
98;Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome;What to Expect the First Year
105;Frank Herbert;Chapterhouse: Dune
106;Frank Herbert;Dune Messiah 
112;Frank Herbert;Children of Dune
117;Frank Herbert;Heretics of Dune
119;Gary Russell;The Lord of the Rings: The Art of The Fellowship of the Ring
122;Bryce Courtenay;The Power of One
231;Tom Wolfe;
249;Henry Miller;Tropic of Cancer
250;Henry Miller;Tropic of Capricorn
264;Henry James, Patricia Crick;The Portrait of a Lady
275;Marguerite Duras, Barbara Bray, Maxine Hong Kingston;L'Amant
291;Kahlil Gibran, Anthony R. Ferris;الأجنحة المتكسرة
295;Robert Louis Stevenson;Treasure Island
304;George Eliot, Edmund White;Daniel Deronda
320;Gabriel García Márquez, Gregory Rabassa;Cien años de soledad
343;Patrick Süskind, John E. Woods;Das Parfum. Die Geschichte eines Mörders
348;Robert A. Heinlein;The Door into Summer
350;Robert A. Heinlein;Stranger in a Strange Land
353;Robert A. Heinlein;Time Enough for Love
355;Robert A. Heinlein;Job: A Comedy of Justice
357;Douglas Adams;The Long Dark Tea-Time of the Soul
359;Douglas Adams;The Salmon of Doubt: Hitchhiking the Galaxy One Last Time
360;Douglas Adams;Mostly Harmless
365;Douglas Adams;Dirk Gently's Holistic Detective Agency
378;Norton Juster, Jules Feiffer;The Phantom Tollbooth
386;Nick Flynn;Another Bullshit Night in Suck City: A Memoir
400;Don DeLillo;Libra 
415;Thomas Pynchon;Gravity's Rainbow
424;Joan Didion;Slouching Towards Bethlehem: Essays
428;Joan Didion, David Thomson;Play It as It Lays
431;Paul Auster, Art Spiegelman;The New York Trilogy
432;Paul Auster;City of Glass
446;Paul Auster;The Brooklyn Follies
447;Paul Auster;Moon Palace
449;Paul Auster;Timbuktu
456;Paul Auster;Leviathan
475;Jared Diamond;Collapse: How Societies Chose to Fail or Succeed
597;Chuck Klosterman;Killing Yourself to Live: 85% of a True Story
599;Chuck Klosterman;Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto
621;David Bach;The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
629;Robert M. Pirsig;Zen and the Art of Motorcycle Maintenance
647;Naomi Klein;No Logo
656;Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude;Война и миръ
662;Ayn Rand, Leonard Peikoff;Atlas Shrugged
665;Ayn Rand, Nathaniel Branden;The Virtue of Selfishness: A New Concept of Egoism
667;Ayn Rand;Anthem
668;Ayn Rand, Leonard Peikoff;We the Living
676;Billy Collins;Sailing Alone Around the Room: New and Selected Poems
698;Anne Tyler;Digging to America
703;Philip Roth;The Plot Against America
706;Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms;America (The Book): A Citizen's Guide to Democracy Inaction
