Source,Target,Weight
314,439,2.0
314,588,0.0
314,1169,1.0
314,1185,1.0
314,2077,1.0
314,2487,1.0
314,2900,0.0
314,3662,1.0
314,3922,0.0
314,5379,0.0
314,5461,2.0
314,5885,0.0
314,6630,0.0
314,7563,2.0
314,9246,4.0
314,10140,1.0
314,10146,0.0
314,10246,1.0
314,51480,4.0
439,588,2.0
439,1169,1.0
439,1185,1.0
439,2077,1.0
439,2487,1.0
439,2900,2.0
439,3662,1.0
439,3922,2.0
439,5379,2.0
439,5461,0.0
439,5885,2.0
439,6630,2.0
439,7563,0.0
439,9246,2.0
439,10140,1.0
439,10146,2.0
439,10246,1.0
439,51480,2.0
588,1169,1.0
588,1185,1.0
588,2077,1.0
588,2487,1.0
588,2900,0.0
588,3662,1.0
588,3922,0.0
588,5379,0.0
588,5461,2.0
588,5885,0.0
588,6630,0.0
588,7563,2.0
588,9246,4.0
588,10140,1.0
588,10146,0.0
588,10246,1.0
588,51480,4.0
1169,1185,0.0
1169,2077,0.0
1169,2487,0.0
1169,2900,1.0
1169,3662,0.0
1169,3922,1.0
1169,5379,1.0
1169,5461,1.4142135623730951
1169,5885,1.0
1169,6630,1.0
1169,7563,1.0
1169,9246,3.0
1169,10140,0.0
1169,10146,1.0
1169,10246,0.0
1169,51480,3.0
1169,6063,1.0
1169,6342,2.0
1169,8167,1.0
1169,11285,0.0
1169,11692,2.0
1169,7001,0.0
1169,8484,0.0
1169,1952,2.0
1169,2324,2.0
1169,3087,0.0
1169,3739,1.0
1169,4536,2.0
1169,5115,0.0
1169,5645,2.0
1169,8178,2.0
1169,8370,0.0
1169,8510,0.0
1185,2077,0.0
1185,2487,0.0
1185,2900,1.0
1185,3662,0.0
1185,3922,1.0
1185,5379,1.0
1185,5461,1.0
1185,5885,1.0
1185,6630,1.0
1185,7563,1.0
1185,9246,3.0
1185,10140,0.0
1185,10146,1.0
1185,10246,0.0
1185,51480,3.0
2077,2487,0.0
2077,2900,1.0
2077,3662,3.1622776601683795
2077,3922,1.0
2077,5379,3.3166247903554
2077,5461,1.0
2077,5885,1.0
2077,6630,1.0
2077,7563,1.4142135623730951
2077,9246,3.0
2077,10140,0.0
2077,10146,1.0
2077,10246,0.0
2077,51480,3.0
2077,11691,1.0
2077,11927,3.0
2077,11599,2.0
2077,13274,1.0
2077,13282,3.605551275463989
2077,12476,2.23606797749979
2077,2171,3.605551275463989
2077,6016,3.0
2077,8440,2.23606797749979
2077,8612,2.0
2077,9195,1.0
2077,9722,3.1622776601683795
2077,10727,3.0
2077,14222,2.23606797749979
2077,14285,2.0
2077,15318,2.0
2077,16569,3.0
2077,3114,1.0
2077,8669,1.0
2077,13000,1.0
2077,13826,1.0
2077,17242,1.0
2487,2900,1.0
2487,3662,0.0
2487,3922,1.0
2487,5379,1.0
2487,5461,1.0
2487,5885,1.0
2487,6630,1.0
2487,7563,1.0
2487,9246,3.0
2487,10140,0.0
2487,10146,1.0
2487,10246,0.0
2487,51480,3.0
2900,3662,1.0
2900,3922,0.0
2900,5379,0.0
2900,5461,2.0
2900,5885,0.0
2900,6630,0.0
2900,7563,2.0
2900,9246,4.0
2900,10140,1.0
2900,10146,0.0
2900,10246,1.0
2900,51480,4.0
3662,3922,1.0
3662,5379,1.0
3662,5461,1.0
3662,5885,1.0
3662,6630,1.0
3662,7563,2.23606797749979
3662,9246,4.242640687119285
3662,10140,0.0
3662,10146,1.0
3662,10246,0.0
3662,51480,3.0
3662,11691,2.23606797749979
3662,11927,1.0
3662,11599,1.4142135623730951
3662,13274,0.0
3662,13282,1.0
3662,12476,2.23606797749979
3662,2171,1.0
3662,6016,0.0
3662,8440,2.23606797749979
3662,8612,1.0
3662,9195,2.0
3662,9722,0.0
3662,10727,0.0
3662,14222,1.0
3662,14285,1.4142135623730951
3662,15318,1.0
3662,16569,0.0
3662,3114,0.0
3662,8669,0.0
3662,13000,0.0
3662,13826,0.0
