source,target,weight
11927,13282,0.5142857142857142
11927,12946,0.3888888888888889
12874,11692,0.5185185185185185
12874,12946,0.5185185185185185
12874,11945,0.5
12874,13034,0.4782608695652174
12874,11868,0.44
12874,11691,0.4
13794,13991,0.4583333333333333
13794,15604,0.391304347826087
13794,13776,0.3181818181818182
10140,10111,0.375
10140,9731,0.32
10140,6630,0.30434782608695654
10140,11999,0.2916666666666667
11692,10944,0.43478260869565216
11692,14546,0.2608695652173913
11945,12381,0.45454545454545453
11854,11408,0.5
11854,12471,0.42857142857142855
10509,11408,0.5
10509,10249,0.42105263157894735
10509,10944,0.4
10509,9771,0.29411764705882354
10610,10944,0.4
10610,13544,0.25
11868,10751,0.3333333333333333
11285,11408,0.42857142857142855
12471,12476,0.3684210526315789
5885,2900,0.42857142857142855
5885,10402,0.29411764705882354
9246,8370,0.3333333333333333
13034,14603,0.4117647058823529
10111,8167,0.38461538461538464
10111,8710,0.35714285714285715
19724,18313,0.5
19724,17643,0.42857142857142855
19724,19171,0.35714285714285715
14248,15547,0.375
8484,6063,0.35294117647058826
15604,14192,0.5833333333333334
15604,15748,0.35714285714285715
9011,8710,0.4166666666666667
9011,5272,0.4166666666666667
6063,6342,0.4
6063,7001,0.3333333333333333
7563,6630,0.25
12476,11599,0.42857142857142855
12476,14285,0.3333333333333333
14603,14192,0.46153846153846156
14603,17984,0.46153846153846156
14603,17566,0.35714285714285715
16569,15748,0.46153846153846156
16569,13407,0.23076923076923078
15547,14192,0.38461538461538464
6342,8370,0.4166666666666667
6342,3087,0.36363636363636365
6342,9804,0.25
10246,6630,0.35714285714285715
23612,24499,0.5
23612,24326,0.5
23612,18361,0.38461538461538464
23612,21676,0.36363636363636365
3922,5272,0.5454545454545454
3922,1169,0.4166666666666667
3662,2900,0.4166666666666667
3662,5379,0.4166666666666667
11999,12466,0.36363636363636365
11999,11445,0.3076923076923077
18031,19526,0.45454545454545453
17663,17643,0.5454545454545454
17663,17984,0.4166666666666667
48482,48687,0.5
48482,46482,0.4
48482,46977,0.4
48482,51460,0.2727272727272727
11599,9722,0.45454545454545453
11599,11239,0.25
11599,10288,0.23076923076923078
21228,21676,0.4
30313,32055,0.45454545454545453
30313,32592,0.4
30313,29689,0.36363636363636365
17566,18857,0.4444444444444444
17566,16377,0.36363636363636365
17566,16913,0.25
27612,28158,0.4444444444444444
27612,26145,0.4
10727,8612,0.2727272727272727
18361,19729,0.45454545454545453
24499,25164,0.5555555555555556
24499,23303,0.3
15748,17242,0.2727272727272727
14192,12455,0.25
17228,17643,0.45454545454545453
17643,20406,0.5555555555555556
32055,26718,0.5
8370,8510,0.3333333333333333
53292,50133,0.5
53292,46977,0.5
53292,51166,0.4
26244,23576,0.5555555555555556
26244,24834,0.5
26244,24326,0.5
26244,21733,0.4444444444444444
26244,28767,0.3
32923,29703,0.7142857142857143
32923,33716,0.625
21217,19526,0.75
21217,23576,0.4
8710,9244,0.3333333333333333
32305,32592,0.5
32305,33716,0.4444444444444444
4536,3087,0.5
4536,5115,0.4444444444444444
4536,8612,0.3
51166,51762,0.3
1169,1952,0.5
1169,2487,0.5
1169,5461,0.4444444444444444
9722,2077,0.3333333333333333
9722,6252,0.3333333333333333
2900,2487,0.7142857142857143
2900,439,0.5
5379,2077,0.5
5379,8440,0.4444444444444444
51480,51460,0.2
26398,24326,0.5714285714285714
42810,35982,0.375
42810,42574,0.375
26145,24845,0.5
8669,8454,0.375
45269,45493,0.5714285714285714
33716,32748,0.5
33716,28767,0.5
33716,37284,0.375
33716,36695,0.375
5461,3739,0.5
5115,3739,0.5
30601,30681,0.5
3739,5645,0.5714285714285714
30681,28767,0.7142857142857143
48559,45554,0.5
48559,47800,0.5
48559,46977,0.375
48559,51838,0.3333333333333333
14222,2077,0.375
14222,13360,0.375
25164,24845,0.5
21733,20967,0.375
20406,20967,0.375
50101,50102,1.0
50101,49297,1.0
50101,49295,1.0
50101,50133,0.6666666666666666
50101,52036,0.25
35982,38080,0.42857142857142855
51460,28158,0.25
439,588,0.42857142857142855
36099,37284,0.42857142857142855
46482,38080,0.42857142857142855
38080,37834,0.6666666666666666
46977,45493,0.42857142857142855
6634,2487,0.42857142857142855
6252,8454,0.42857142857142855
